2560	134681	16933	3054	19987
2580	160208	16976	3014	19990
2600	100948	16692	3298	19990
2620	29544	15589	4212	19801
2640	295	14742	5162	19904
2660	0	11250	6063	17313
2680	0	9616	6932	16548
2700	0	8303	7762	16065
2720	0	7119	8515	15634
2740	0	5921	9253	15174
2760	0	4791	9969	14760
2780	0	3627	10729	14356
2800	0	2789	11208	13997
2820	0	2620	11034	13654
2840	0	2454	10744	13198
2860	0	2297	10573	12870
2880	0	2170	10358	12528
2900	132477	2022	10155	12177
2920	385639	10021	9969	19990
2940	510947	10689	9791	20480
2960	388400	11419	9668	21087
2980	139948	11122	9653	20775
3000	9562	10405	9585	19990
3020	0	7948	9527	17475
3040	0	6833	9446	16279
3060	0	6401	9346	15747
3080	0	6007	9219	15226
3100	0	5626	9110	14736
3120	0	5261	9010	14271
3140	0	4926	8865	13791
3160	0	4645	8675	13320
3180	0	4468	8431	12899
3200	0	4260	8166	12426
3220	0	4101	7983	12084
3240	0	3929	7785	11714
3260	65992	3747	7581	11328
3280	319835	4522	7387	11909
3300	452460	12799	7192	19991
3320	407944	12892	7098	19990
3340	174758	12758	7235	19993
3360	24644	12639	7354	19993
3380	0	10636	7427	18063
3400	0	8869	7478	16347
3420	0	8212	7487	15699
3440	0	7659	7507	15166
3460	0	7108	7544	14652
3480	0	6612	7552	14164
3500	0	6124	7547	13671
3520	0	5708	7486	13194
3540	0	5496	7255	12751
3560	0	5293	7024	12317
3580	0	5083	6759	11842
3600	0	4874	6540	11414
3620	4061	4690	6344	11034
3640	200127	4502	6154	10656
3660	341319	14517	5939	20456
3680	364210	14404	5743	20147
3700	186918	14327	5923	20250
3720	39114	13892	6099	19991
3740	0	12700	6284	18984
3760	0	10023	6414	16437
3780	0	9165	6519	15684
3800	0	8560	6594	15154
3820	0	7864	6723	14587
3840	0	7224	6797	14021
3860	0	6642	6853	13495
3880	0	6165	6868	13033
3900	0	5899	6622	12521
3920	0	5691	6360	12051
3940	0	5481	6049	11530
3960	0	5265	5822	11087
3980	0	5051	5597	10648
4000	124377	4863	5386	10249
4020	267166	14816	5174	19990
4040	307749	15004	4986	19990
4060	194428	14904	5087	19991
4080	55821	15214	5258	20472
4100	607	14523	5458	19981
4120	0	11183	5631	16814
4140	0	10008	5765	15773
4160	0	9294	5870	15164
4180	0	8561	6003	14564
4200	0	7911	6107	14018
4220	0	7319	6172	13491
4240	0	6787	6206	12993
4260	0	6457	6062	12519
4280	0	6214	5805	12019
4300	0	5981	5502	11483
4320	0	5768	5261	11029
4340	0	5556	5029	10585
4360	69772	5367	4808	10175
4380	199104	10458	4595	15053
4400	263305	16409	4374	20783
4420	195772	15603	4387	19990
4440	70918	15974	4609	20583
4460	4754	15062	4782	19844
4480	0	12360	4989	17349
4500	0	10717	5187	15904
4520	0	9916	5329	15245
4540	0	9170	5469	14639
4560	0	8480	5547	14027
4580	0	7807	5641	13448
4600	0	7206	5700	12906
4620	0	6707	5683	12390
4640	0	6490	5416	11906
4660	0	6281	5183	11464
4680	0	6077	4872	10949
4700	0	5882	4606	10488
4720	36875	5671	4373	10044
4740	154155	5789	4160	9949
4760	216234	16063	3927	19990
4780	191966	16231	3759	19990
4800	84686	16166	4027	20193
4820	11831	15715	4277	19992
4840	0	13204	4524	17728
4860	0	11285	4723	16008
4880	0	10429	4884	15313
4900	0	9628	5062	14690
4920	0	8890	5255	14145
4940	0	8182	5370	13552
4960	0	7542	5521	13063
4980	0	6938	5588	12526
5000	0	6699	5333	12032
5020	0	6493	5078	11571
5040	0	6272	4736	11008
5060	0	6064	4492	10556
5080	4464	5868	4281	10149
5100	108722	5670	4084	9754
5120	195028	16108	3884	19992
5140	217848	16310	3681	19991
5160	113582	16097	3907	20004
5180	22536	15788	4202	19990
5200	0	14265	4487	18752
5220	0	11781	4768	16549
5240	0	10760	4986	15746
5260	0	9983	5177	15160
5280	0	9211	5367	14578
5300	0	8505	5555	14060
5320	0	7841	5714	13555
5340	0	7144	5888	13032
5360	0	6838	5685	12523
5380	0	6613	5437	12050
5400	0	6419	5096	11515
5420	0	6181	4859	11040
5440	0	5992	4648	10640
5460	92720	5779	4447	10226
5480	199078	15744	4247	19991
5500	227348	15929	4061	19990
5520	143535	15857	4184	20041
5540	41547	15528	4465	19993
5560	185	15083	4780	19863
5580	0	11769	5048	16817
5600	0	10516	5257	15773
5620	0	9720	5443	15163
5640	0	8960	5614	14574
5660	0	8209	5794	14003
5680	0	7548	5947	13495
5700	0	6917	6080	12997
5720	0	6497	5980	12477
5740	0	6251	5737	11988
5760	0	6032	5413	11445
5780	0	5833	5172	11005
5800	0	5612	4928	10540
5820	69919	5416	4675	10091
5840	189703	10267	4475	14742
5860	242858	15973	4270	20243
5880	183162	15793	4223	20016
5900	65962	15946	4469	20415
5920	4227	15059	4752	19811
5940	0	12224	4952	17176
5960	0	10792	5183	15975
5980	0	9961	5383	15344
6000	0	9205	5534	14739
6020	0	8506	5640	14146
6040	0	7844	5796	13640
6060	0	7217	5895	13112
6080	0	6756	5839	12595
6100	0	6521	5565	12086
6120	0	6290	5311	11601
6140	0	6087	4984	11071
6160	0	5880	4743	10623
6180	37831	5678	4529	10207
6200	156617	5801	4319	10120
6220	231213	15888	4103	19991
6240	204974	16013	3978	19991
6260	86955	15744	4246	19990
6280	12483	15736	4508	20244
6300	0	13147	4753	17900
6320	0	11183	4976	16159
6340	0	10322	5177	15499
6360	0	9586	5318	14904
6380	0	8867	5474	14341
6400	0	8127	5603	13730
6420	0	7473	5712	13185
6440	0	6867	5815	12682
6460	0	6623	5581	12204
6480	0	6378	5319	11697
6500	0	6149	4983	11132
6520	0	5924	4735	10659
6540	4077	5726	4508	10234
6560	124111	5533	4309	9842
6580	214413	15910	4081	19991
6600	223591	16111	3880	19991
6620	108457	16440	4078	20518
6640	22795	15512	4387	19899
6660	0	14257	4625	18882
6680	0	11647	4866	16513
6700	0	10676	5078	15754
6720	0	9909	5251	15160
6740	0	9126	5396	14522
6760	0	8341	5615	13956
6780	0	7623	5782	13405
6800	0	7045	5841	12886
6820	0	6742	5653	12395
6840	0	6489	5389	11878
6860	0	6269	5044	11313
6880	0	6057	4808	10865
6900	0	5854	4610	10464
6920	97670	5653	4394	10047
6940	194075	15797	4197	19994
6960	227970	16017	3974	19991
6980	145553	16082	4069	20151
7000	41875	15647	4343	19990
7020	240	15268	4619	19887
7040	0	11804	4885	16689
7060	0	10567	5156	15723
7080	0	9769	5356	15125
7100	0	9027	5541	14568
7120	0	8293	5743	14036
7140	0	7626	5871	13497
7160	0	6997	5992	12989
7180	0	6576	5886	12462
7200	0	6376	5619	11995
7220	0	6137	5367	11504
7240	0	5937	5048	10985
7260	0	5722	4822	10544
7280	68258	5532	4604	10136
7300	185350	10585	4373	14958
7320	238160	15813	4176	19989
7340	176324	16419	4142	20561
7360	61683	15969	4462	20431
7380	4406	15311	4717	20028
7400	0	12300	4940	17240
7420	0	10755	5184	15939
7440	0	10025	5330	15355
7460	0	9256	5507	14763
7480	0	8535	5636	14171
7500	0	7870	5746	13616
7520	0	7251	5849	13100
7540	0	6718	5844	12562
7560	0	6485	5577	12062
7580	0	6241	5335	11576
7600	0	6030	5002	11032
7620	0	5828	4772	10600
7640	32550	5632	4544	10176
7660	151435	5860	4301	10161
7680	228451	15913	4078	19991
7700	201691	16078	3912	19990
7720	87194	16136	4198	20334
7740	12030	15537	4454	19991
7760	0	13247	4686	17933
7780	0	11300	4878	16178
7800	0	10431	5069	15500
7820	0	9624	5253	14877
7840	0	8886	5403	14289
7860	0	8213	5521	13734
7880	0	7517	5677	13194
7900	0	6894	5780	12674
7920	0	6650	5506	12156
7940	0	6446	5265	11711
7960	0	6204	4946	11150
7980	0	5986	4722	10708
